logz logzerr logvol nlive logl logwt insert_order
-3.077635102572953125e+13 5.126950541887637695e+12 -2.599999999999997313e-01 3.000000000000000000e+02 -2.819968633117829297e+13 -2.819968633118425781e+13 5.999999999999999778e-02
-2.819968633118425781e+13 4.439660728496318359e+12 -2.633333333333330861e-01 3.000000000000000000e+02 -2.727029189447913672e+13 -2.727029189448510547e+13 3.200000000000000067e-01
-2.727029189448510547e+13 4.719633890737387695e+12 -2.666666666666664409e-01 3.000000000000000000e+02 -2.678549950897716406e+13 -2.678549950898313672e+13 1.173333333333333339e+00
-2.678549950898313672e+13 1.118427064926414307e+12 -2.699999999999997957e-01 3.000000000000000000e+02 -2.516891131938151562e+13 -2.516891131938749219e+13 1.020000000000000018e+00
-2.516891131938749219e+13 7.784095383460731201e+11 -2.733333333333331505e-01 3.000000000000000000e+02 -2.513973021194555859e+13 -2.513973021195153906e+13 1.939999999999999947e+00
-2.513973021195153906e+13 1.375610596722681236e+10 -2.766666666666665053e-01 3.000000000000000000e+02 -2.287152747115288672e+13 -2.287152747115886719e+13 4.066666666666666763e-01
-2.287152747115886719e+13 8.453092525273082275e+11 -2.799999999999998601e-01 3.000000000000000000e+02 -2.227519022456510156e+13 -2.227519022457108594e+13 8.266666666666666607e-01
-2.227519022457108594e+13 7.711184056315815430e+11 -2.833333333333332149e-01 3.000000000000000000e+02 -2.214957193469896875e+13 -2.214957193470495703e+13 1.533333333333333215e-01
-2.214957193470495703e+13 1.987155556867103882e+11 -2.866666666666665697e-01 3.000000000000000000e+02 -2.204718845620086719e+13 -2.204718845620685938e+13 1.126666666666666705e+00
-2.204718845620685938e+13 7.073620843101196289e+10 -2.899999999999999245e-01 3.000000000000000000e+02 -2.046529988035783594e+13 -2.046529988036383203e+13 9.333333333333333481e-01
-2.046529988036383203e+13 8.007267011758344727e+11 -2.933333333333332793e-01 3.000000000000000000e+02 -1.736583023663197852e+13 -1.736583023663797656e+13 1.459999999999999964e+00
-1.736583023663797656e+13 1.634166504575218018e+12 -2.966666666666666341e-01 3.000000000000000000e+02 -1.734106222102657812e+13 -1.734106222103258008e+13 3.466666666666666785e-01
