16:57:57 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run5, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [DEBUG] ReactiveNestedSampler: dims=5+0, resume=False, log_dir=ultranest_nopair/run6, backend=hdf5, vectorized=True, nbootstraps=30, ndraw=128..65536
17:01:38 [ultranest] [INFO] Sampling 300 live points from prior ...
17:01:38 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:01:38 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=300, cluster_num_live_points=40
17:01:38 [ultranest] [DEBUG] minimal_widths_sequence: [(np.float64(-inf), np.float64(300.0)), (np.float64(inf), np.float64(300.0))]
17:01:41 [ultranest] [DEBUG] iteration=1710, ncalls=3265, regioncalls=38656, ndraw=128, logz=-26565.56, remainder_fraction=99.9130%, Lmin=-26558.22, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1740, ncalls=3358, regioncalls=40832, ndraw=128, logz=-26565.08, remainder_fraction=99.8537%, Lmin=-26557.84, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1742, ncalls=3370, regioncalls=41344, ndraw=128, logz=-26565.05, remainder_fraction=99.8488%, Lmin=-26557.82, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1770, ncalls=3445, regioncalls=43264, ndraw=128, logz=-26564.68, remainder_fraction=99.7682%, Lmin=-26557.44, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1800, ncalls=3529, regioncalls=45824, ndraw=128, logz=-26564.31, remainder_fraction=99.6682%, Lmin=-26557.02, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1809, ncalls=3548, regioncalls=46464, ndraw=128, logz=-26564.21, remainder_fraction=99.6266%, Lmin=-26556.88, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1830, ncalls=3613, regioncalls=49024, ndraw=128, logz=-26563.96, remainder_fraction=99.5312%, Lmin=-26556.65, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1860, ncalls=3699, regioncalls=50048, ndraw=128, logz=-26563.64, remainder_fraction=99.3376%, Lmin=-26556.26, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1890, ncalls=3783, regioncalls=50560, ndraw=128, logz=-26563.32, remainder_fraction=99.0711%, Lmin=-26555.89, Lmax=-26548.92
17:01:42 [ultranest] [DEBUG] iteration=1920, ncalls=3853, regioncalls=50944, ndraw=128, logz=-26563.02, remainder_fraction=98.6886%, Lmin=-26555.56, Lmax=-26548.92
