weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -2.294453543749578906e+13 7.979759418169731333e+00 4.133509884756445985e+01 1.191306373618963743e+00 2.122616617736338185e+01 4.257894342202229315e-02
0.000000000000000000e+00 -2.134341825062794531e+13 3.082437546047592036e+01 3.450076611919011604e+00 1.246866266335315276e-01 1.950850827404061150e+01 4.434411514319804015e-02
0.000000000000000000e+00 -1.981887286176748438e+13 3.556400100977432999e+01 4.685029797774782168e+01 1.268085717489914055e+00 5.086678511557614257e+01 4.655658964700812308e-02
0.000000000000000000e+00 -1.917568747987930859e+13 3.087335622234224530e+01 2.178334526870099808e+01 6.646708361742393878e-01 2.224218661864156132e+01 4.750938527978179615e-02
0.000000000000000000e+00 -1.884669057037851953e+13 2.023369982108290799e+01 4.842936931057622907e+00 4.365629676819920979e-01 2.495915301691440291e+01 4.807740371301073845e-02
0.000000000000000000e+00 -1.861052493389230078e+13 1.586708829752006977e+01 1.142807883363768973e+01 1.370158981441439661e+00 2.394901854431777366e+01 4.853469760699868213e-02
0.000000000000000000e+00 -1.620257061127618359e+13 1.671799541009015044e+01 1.323477644699364042e+01 1.538207756277332194e-03 4.599574575407870469e+01 5.290226583212548350e-02
0.000000000000000000e+00 -1.584240305447119922e+13 2.899493481413647444e+01 2.364015443514715287e+01 8.116519897726763855e-01 2.135399498944584806e+01 5.359118469532353490e-02
0.000000000000000000e+00 -1.507254692973317969e+13 3.280579825609893163e+01 2.358015989541582513e+01 1.379519503342783171e+00 5.274251445028142626e+01 5.527774977447302146e-02
0.000000000000000000e+00 -1.458695163356107227e+13 3.335648105425522658e+01 3.718279409151848824e+01 1.448434643622435569e+00 5.070677438137840198e+01 5.643711611109427512e-02
0.000000000000000000e+00 -1.292307596242502930e+13 1.568412518357746421e+01 1.581680881748931888e+01 1.466759426317776116e+00 2.105751011590633581e+01 6.094178944684747190e-02
0.000000000000000000e+00 -1.195392773832002930e+13 1.785621864890433130e+01 2.968700208293393317e+01 4.148121225337809137e-01 9.972961339473860320e+00 6.389282284656881694e-02
0.000000000000000000e+00 -1.095263005980564844e+13 2.926914393479210830e+01 2.960090739791177938e+01 1.346394860232368762e+00 3.901655149333400630e+01 6.733561166622388516e-02
0.000000000000000000e+00 -1.059183455194011719e+13 2.670194799058195656e+01 4.375300591055682986e+01 6.507799920805632521e-01 2.575943833727852805e+01 6.874507989469716418e-02
0.000000000000000000e+00 -1.048780233207659375e+13 2.277607372359548421e+01 2.593460330723437224e+01 1.090313094808487815e+00 3.606682174284801334e+01 6.918290527179751792e-02
0.000000000000000000e+00 -9.811984978690164062e+12 2.395764847803885544e+01 2.766968529328224946e+01 7.016288797303298352e-01 5.720931229500131820e+01 7.201384302923888314e-02
0.000000000000000000e+00 -8.308477572037090820e+12 2.126869340131731434e+01 2.642459422757552190e+01 6.636147741003042277e-01 1.100771861600660806e+01 7.960586209537943991e-02
0.000000000000000000e+00 -8.033977803486097656e+12 1.794329766140625182e+01 1.416769276013414292e+01 4.623213165289959958e-01 3.524685669748068051e+01 8.122736472205084601e-02
0.000000000000000000e+00 -7.955246418006706055e+12 2.052725889479645360e+01 2.572669223340301414e+01 1.438849569498236169e+00 4.639859904614327490e+01 8.175918909807466939e-02
0.000000000000000000e+00 -7.742287536143303711e+12 3.278922062527117021e+01 2.336644735456948752e+01 8.457149732942575993e-01 4.227090688391215423e+01 8.290555766168267171e-02
0.000000000000000000e+00 -7.418876188264506836e+12 3.902790464383132729e+01 1.654430880479612620e+00 4.234041120759387544e-01 4.197210276543089691e+01 8.488065112953256663e-02
0.000000000000000000e+00 -7.107524384562292969e+12 1.600063440209315502e+01 1.728770538589066774e+01 1.056897570628728023e+00 1.075144669549281673e+00 8.742263165447528017e-02
0.000000000000000000e+00 -7.057120286065814453e+12 2.544764666936938724e+01 4.447818565828832504e+01 3.818373718323609944e-01 4.688455997322966340e+01 8.772372934912846254e-02
0.000000000000000000e+00 -6.361078916092583008e+12 7.449291782809961404e+00 4.481030208438042450e+01 8.825594560402783006e-01 5.884399037444568847e+01 9.354658643126895212e-02
0.000000000000000000e+00 -5.882356069249683594e+12 2.453357513164877801e+01 2.469160255111912861e+01 1.176958622095671814e+00 7.304903373480369666e+00 9.764132650434841076e-02
