a_v a_s a_c a_sym sigma_sys
3.371555064223595366e+01 7.335091279609947890e+00 1.709496383982150591e-01 3.736021938611470716e+01 7.849196632807353126e+03
3.934694922303634712e+01 2.747295782305859468e+00 4.397337812637939214e-01 2.416621608894034168e+01 8.200227337868951508e+03
3.743809904251200038e+01 2.166690942355484850e+01 1.111873896823805108e+00 5.151916058158684564e+01 8.100886909454027773e+03
3.908285000155487410e+01 1.581449972153840022e+01 6.329671548752735522e-02 2.959615381732205730e-01 8.051327404070516423e+03
3.232513671422059787e+01 3.189625436132800917e+00 7.603906893516074739e-01 5.156806921941529254e+01 8.402205381697194753e+03
3.946998802560561614e+01 2.969768865635224842e+01 2.985760285703777939e-01 3.529389062217333617e+01 7.993895040678090481e+03
3.928254194227685048e+01 1.900237329539099917e+01 1.070640630323593578e+00 1.543707271345873266e-01 8.051754205714471937e+03
3.469853020412303124e+01 2.373471763418812941e+01 3.769282989441693488e-01 7.976981087870704812e-02 8.146757731207604593e+03
3.837953219815016581e+01 1.256188415983123186e+01 8.890484353119163519e-01 4.612164441381340296e+00 8.091846468284348703e+03
3.514150814966711067e+01 5.612459203380095296e+00 9.077080490341101759e-01 2.208265442494732866e+01 8.126823803003517241e+03
3.876326748733033156e+01 1.308697337618853851e+01 1.389667121479449818e+00 2.606064407473481381e+01 8.007282099291788654e+03
3.920061717095725129e+01 2.333650240859282832e+01 7.998243856869819979e-01 4.266392798601891201e+01 7.883418241318514447e+03
3.718598102113381998e+01 2.080142075118472533e+01 7.580779122238839873e-03 1.052075242537328137e+01 7.889119011941221288e+03
3.995752775937216228e+01 4.326927579597731466e+01 1.101755334721330915e+00 1.792131135254035712e+01 7.891266103699987070e+03
3.686063689185418468e+01 2.897875721141086558e+01 4.389406554971952423e-01 1.920287054057211407e+01 8.032520411570994838e+03
3.955348345146266809e+01 1.678155583189494537e+00 2.424582522353191105e-01 5.678445557788948328e+00 8.260410542227275073e+03
3.967384186838133076e+01 7.874496020633397819e+00 1.224080235017929452e-01 5.261231027920231185e+01 8.082864702994745130e+03
3.151379352949650681e+01 1.671727149194030915e+01 8.139907912958443958e-01 5.048648112329926363e+01 8.026138738535428274e+03
3.975794519877126731e+01 9.741974059200122937e+00 1.175049844278144989e-01 2.486260092393195009e+01 8.195851814506993833e+03
3.679900310730311475e+01 2.944221224917279400e+01 9.583794054886244362e-01 4.796662789535613314e+00 7.948380765096488176e+03
3.582795548845794542e+01 8.713548901867151919e-01 8.187921846628389011e-02 6.506641135737476489e+00 7.956708425497476128e+03
3.218081330423537167e+01 8.621812988063428662e-01 3.529730694661266099e-01 8.679571120453939415e+00 8.010120796335193518e+03
3.514548235894490347e+01 5.540531611411505963e+00 4.334864171199986349e-01 9.367205442512998914e+00 8.311401064006648085e+03
3.052353148707841157e+01 2.672413758330738354e+00 9.925396824137585616e-01 2.461540688360040363e+01 8.061772337972334753e+03
3.218081330423537167e+01 8.621812988063428662e-01 3.529730694661266099e-01 8.679571120453939415e+00 8.010120796335193518e+03
3.846986179884693513e+01 1.458257332592528766e+00 1.179915259034234609e-01 4.381665971697096040e+00 8.041602111753930330e+03
3.837261479265259112e+01 1.285628281728567401e+01 1.776286532164057241e-01 4.420582087658072368e+01 7.972914992997270019e+03
2.833578585753058476e+01 6.979283342394430711e+00 9.996030146699991237e-02 2.638779132092811253e+01 8.036846543411185849e+03
3.968972592710959901e+01 1.737246575807128990e-01 4.179717740582036128e-02 1.363659972992505764e+01 7.927405828921877401e+03
3.897408863721948080e+01 2.182579429231947898e+01 1.058998225383629865e+00 5.708168527313215890e+01 8.177321696980546221e+03
3.800438556547940294e+01 4.073960163584092697e+01 2.207994128734558636e-01 3.735564004868081867e+01 8.037042690676284110e+03
3.849283114382357240e+01 1.529149145723966763e+00 5.043550703210167852e-01 2.666413927861694688e+01 8.143437588940402748e+03
3.994586101783725951e+01 2.286712803210392053e+01 9.002545338114378848e-02 3.278153308702155755e+01 7.807711785762426189e+03
3.678471677863578293e+01 3.569408078442215526e+00 1.155532297567553462e-01 1.688575144005302064e+00 8.190236970997835670e+03
3.829647345880204057e+01 7.588384240359672184e+00 6.487780728288726761e-01 5.192130323180700202e+01 7.992137919011716804e+03
3.817484327651149556e+01 1.751736758039583108e+01 4.856394941001941357e-01 1.152166862223919708e+01 8.007552518108336699e+03
3.798921632795337189e+01 1.100492436158245191e+01 2.151259971689025718e-01 5.884749066543528073e+01 8.166587587377985074e+03
3.925354186504787180e+01 1.651358837781331701e+01 8.158802699231504363e-02 7.464556372458681643e+00 7.914259442197246244e+03
3.782229812189368801e+01 2.708285935069115524e+00 8.807299160107653901e-03 1.835012320185560242e+01 8.090104371767572957e+03
3.323353633254355088e+01 1.768187636258657847e+01 1.231975548488425609e+00 6.268038105533388027e+00 7.954179939727116107e+03
3.465691316574742586e+01 1.483424857062147773e+01 7.311997549911358751e-02 1.071564502503939975e+00 8.142517232044877346e+03
3.413260202142198096e+01 1.958723381199881786e+01 8.874643365317909094e-01 5.584759922059424753e+01 8.287470110352171105e+03
3.665768022177975638e+01 1.274853087014113484e+00 5.489757795371800198e-01 3.362894337590589089e+01 8.143429037848431108e+03
3.936437023673188662e+01 3.384025992527036397e+00 7.761048375844157299e-01 2.399744047310555572e+00 7.884746931591233988e+03
3.522716783206652735e+01 6.372403274225052705e+00 2.524407406260866793e-01 4.278170049213413506e+01 7.838384686621792753e+03
3.569394547353337543e+01 7.550909642145104073e+00 3.352052542459459383e-01 5.570479192801038693e+01 7.981973861748556374e+03
3.990185647067031738e+01 7.442587104882695037e+00 4.298016914540532807e-01 2.666559122595086251e+01 8.154775071134397876e+03
3.611527192118272467e+01 3.760377525979587077e+00 1.377622688317271749e+00 5.963261943731168468e-01 8.092101511154731270e+03
