weight logl a_v a_s a_c a_sym sigma_sys
0.000000000000000000e+00 -5.314035781260394287e+11 3.180109656179911370e-01 9.639594260726987995e-01 5.151032335104169801e-01 2.632379880291317864e-01 3.667325461301054190e-01
0.000000000000000000e+00 -5.211065154596357422e+11 3.819759219910024983e-01 1.639390370403386310e-01 9.010066935800284948e-01 6.623084312620487468e-01 3.673146139390782716e-01
0.000000000000000000e+00 -4.853306080591639404e+11 5.126675644534831600e-01 6.878492641594763368e-01 9.661272903992182970e-01 6.368916240432741516e-01 3.696526673838415045e-01
0.000000000000000000e+00 -4.724630644761236572e+11 2.137426677758520466e-01 8.974835991143621516e-01 7.971005287664076899e-01 3.913247434057223195e-01 3.706200140348374639e-01
0.000000000000000000e+00 -3.177266421804784546e+11 7.955364460211588051e-01 4.301538156361028875e-01 5.858636078993617602e-04 7.113816557745670233e-01 3.832868105729161368e-01
0.000000000000000000e+00 -2.610836097545639343e+11 2.976006007871700998e-02 6.186974284137647384e-01 8.742039331568508542e-01 9.120827267049134157e-01 3.899125031270160857e-01
0.000000000000000000e+00 -2.567929041901373291e+11 3.209081427829783006e-01 7.625186967696877538e-01 7.986487113386933068e-01 3.144380561654394057e-01 3.903665787614218896e-01
0.000000000000000000e+00 -2.534510163258941040e+11 7.730667788711069743e-01 5.583796553795435935e-01 8.288337617640799682e-01 1.146930225566050732e-01 3.906458679825731695e-01
0.000000000000000000e+00 -2.315558226492344971e+11 6.328775731903768520e-02 1.727126416825149890e-01 9.156191031315729090e-01 8.364023760091766624e-01 3.937366099277151976e-01
0.000000000000000000e+00 -1.974770200336515503e+11 3.059781851542736630e-01 4.263958031906431856e-01 2.554822494549052747e-01 5.094927641006319341e-02 3.987654735422139218e-01
0.000000000000000000e+00 -1.787850971866232910e+11 9.064626596786360402e-01 3.243086248364207558e-01 9.988683851316203510e-01 2.831700837013628735e-02 4.018221658805608554e-01
0.000000000000000000e+00 -1.751852430034160767e+11 3.278036616318527052e-01 1.245920234969619678e-01 2.645308729271889092e-01 7.837964090758636759e-01 4.025888476307762920e-01
0.000000000000000000e+00 -1.522106967727141113e+11 1.837255958851130577e-01 1.693224440137346409e-01 1.197568607000589758e-01 7.809201184659692041e-01 4.071278345230253670e-01
0.000000000000000000e+00 -1.355527893537952576e+11 8.803691011658766330e-01 3.986269916184443929e-01 3.590306580996021069e-01 8.666841743406820120e-01 4.106753793414091858e-01
0.000000000000000000e+00 -1.299870471727980042e+11 7.153855385670553346e-01 5.699898056724572726e-02 9.484869036937172426e-01 5.620585487189350138e-01 4.120593019978784355e-01
0.000000000000000000e+00 -1.109290828922171326e+11 1.421486945567216331e-01 4.226429394842824427e-01 6.812951799797754004e-01 4.245210297725013904e-01 4.172899132279169754e-01
0.000000000000000000e+00 -1.029692175427827148e+11 5.129508490249813368e-01 2.962798200832131856e-01 8.445189142275636440e-01 1.357019760688074062e-01 4.195557481633682695e-01
0.000000000000000000e+00 -9.976241578992080688e+10 1.331022808966959570e-01 7.067299353206515367e-01 1.285996452678163093e-01 7.467903542491918234e-01 4.206714680329508571e-01
